airport,lat,lon
KBVI,40.77249908,-80.3914032
KBVN,41.72859955,-98.05580139
KBVO,36.76250076,-96.01119995
KBVS,48.47090149,-122.4209976
KBVX,35.7262001,-91.64730072
KBVY,42.58420181,-70.91649628
KBWC,32.99290085,-115.5169983
KBWD,31.79360008,-98.95649719
KBWG,36.96450043,-86.41970062
KBWI,39.1754,-76.668297
KBWP,46.24409866,-96.60739899
KBWW,46.1655193,-103.30075
KBXA,30.81369972,-89.86499786
KBXG,33.04130173,-82.00270081
KBXK,33.42039871,-112.685997
KBYG,44.3810997,-106.7220001
KBYH,35.96429825,-89.94400024
KBYI,42.54259872,-113.7720032
KBYS,35.2804985,-116.6299973
KBYY,28.97330093,-95.8635025
KBZN,45.77750015,-111.1529999
KC02,42.614899,-88.389603
KC03,41.44620132,-85.93479919
KC04,43.64170074,-86.32920074
KC08,38.01110077,-105.3730011
KC09,41.42539978,-88.41870117
KC15,40.48820114,-89.67590332
KC16,40.14640045,-88.19850159
KC17,42.03110123,-91.52929688
KC20,41.9516983,-86.36769867
KC22,34.15990067,-85.63510132
KC24,37.82080078,-106.9309998
KC27,42.49330139,-91.49849701
KC29,43.11429977,-89.53150177
KC35,43.52590179,-89.98320007
KC47,43.56029892,-89.48290253
KC62,41.47269821,-85.26080322
KC65,41.36510086,-86.30049896
KC71,31.29599953,-91.05290222
KC73,41.83369827,-89.44619751
KC74,42.70420074,-90.96459961
KC75,41.01929855,-89.38639832
KC77,42.32289886,-88.83630371
KC80,36.1631012,-120.2939987
KC81,42.32460022,-88.07409668
KC83,37.82839966,-121.6259995
KC91,41.99290085,-86.12799835
KCAD,44.27529907,-85.41889954
KCAE,33.93880081,-81.11949921
KCAG,40.49520111,-107.5220032
KCAK,40.91609955,-81.44219971
KCAO,36.44620132,-103.1669998
KCAR,46.87149811,-68.01789856
KCAV,42.7419014,-93.7589035
KCBE,39.61539841,-78.7609024
KCBF,41.25920105,-95.76059723
KCBG,45.55749893,-93.2641983
KCBK,39.42750168,-101.0469971
KCBM,33.64379883,-88.44380188
KCC,56.00320053,-132.8419952
KCCA,35.59780121,-92.45159912
KCCB,34.11159897,-117.6880035
KCCO,33.31159973,-84.76979828
KCCR,37.98970032,-122.0569992
KCCY,43.07260132,-92.6108017
KCDA,44.56909943,-72.01799774
KCDC,37.70100021,-113.098999
KCDH,33.62279892,-92.76339722
KCDI,39.97499847,-81.57759857
KCDN,34.28359985,-80.56490326
KCDR,42.83760071,-103.0950012
KCDS,34.43379974,-100.288002
KCDW,40.87519836,-74.28140259
KCEA,37.64860153,-97.25060272
KCEC,41.78020096,-124.2369995
KCEF,42.19400024,-72.53479767
KCEK,40.61790085,-96.92489624
KCEU,34.6719017,-82.8864975
KCEV,39.69850159,-85.12969971
KCEW,30.77879906,-86.52210236
KCEY,36.66460037,-88.37280273
KCEZ,37.3030014,-108.6279984
KCFD,30.71570015,-96.33139801
KCFE,45.1590004,-93.84329987
KCFJ,39.975602,-86.919899
KCFS,43.45880127,-83.44550323
KCFT,32.95280075,-109.2099991
KCFV,37.09400177,-95.57189941
KCG,56.317643,-158.589706
KCGC,28.86730003,-82.57129669
KCGE,38.53929901,-76.03040314
KCGF,41.56510162,-81.48639679
KCGI,37.22529984,-89.57080078
KCGS,38.98059845,-76.92230225
KCGX,41.85879898,-87.60790253
KCGZ,32.954899,-111.766998
KCHA,35.03530121,-85.20379639
KCHC,41.53860092,-84.13310242
KCHD,33.2691,-111.810997
KCHK,35.09740067,-97.96769714
KCHN,27.51490021,-81.88050079
KCHO,38.1385994,-78.45290375
KCHQ,36.84209824,-89.35970306
KCHS,32.89860153,-80.04049683
KCHT,39.78219986,-93.49569702
KCHU,43.59640121,-91.50389862
KCIC,39.79539871,-121.8580017
KCID,41.88470078,-91.71080017
KCII,47.82830048,-112.1679993
KCIN,42.0461998,-94.78900146
KCIR,37.0644989,-89.21959686
KCIU,46.25080109,-84.47239685
KCJR,38.52669907,-77.85890198
KCKA,36.7439003,-98.12310028
KCKB,39.29660034,-80.22810364
KCKC,47.8382988,-90.38289642
KCKF,31.98880005,-83.77390289
KCKI,33.71720123,-79.85700226
KCKM,34.29970169,-90.51229858
KCKN,47.84170151,-96.62159729
KCKP,42.7317009,-95.55590057
KCKV,36.62189865,-87.41500092
KCKZ,40.3891983,-75.29049683
KCL,56.31119919,-158.5359955
KCLE,41.4117012,-81.84980011
KCLI,44.61380005,-88.73130035
KCLK,35.53829956,-98.93270111
KCLL,30.58860016,-96.36380005
KCLM,48.12020111,-123.5
KCLR,33.13150024,-115.5210037
KCLS,46.67699814,-122.9830017
KCLT,35.2140007,-80.94309998
KCLW,27.97669983,-82.75869751
KCMA,34.21369934,-119.0940018
KCMH,39.998001,-82.891899
KCMI,40.03919983,-88.27809906
KCMR,35.3022,-112.194
KCMX,47.16839981,-88.4890976
KCMY,43.958302,-90.7379
KCN,53.40289934,-167.5202715
KCNB,44.72949982,-96.26599884
KCNC,41.01959991,-93.35970306
KCNH,43.37039948,-72.36869812
KCNK,39.54930115,-97.65229797
KCNM,32.33750153,-104.2630005
KCNO,33.97470093,-117.637001
KCNP,41.07749939,-102.4639969
KCNU,37.66880035,-95.48509979
KCNW,31.63780022,-97.07409668
KCNY,38.75500107,-109.7549973
KCOD,44.52019882,-109.0240021
KCOE,47.77429962,-116.8199997
KCOF,28.23489952,-80.61009979
KCOI,28.34160042,-80.6855011
KCOM,31.84110069,-99.4036026
KCON,43.20270157,-71.50229645
KCOQ,46.7010994,-92.50360107
KCOS,38.805801,-104.700996
KCOT,28.45669937,-99.22029877
KCOU,38.8181,-92.219597
KCPC,34.27289963,-78.71499634
KCPK,36.66559982,-76.3207016
KCPM,33.88999939,-118.2440033
KCPR,42.908001,-106.463997
KCPS,38.5707016,-90.15619659
KCPT,32.353802,-97.433701
KCPU,38.14609909,-120.6480026
KCQA,40.48410034,-84.56009674
KCQB,35.72380066,-96.82029724
KCQM,47.82189941,-92.68939972
KCQW,34.71289825,-79.95700073
KCQX,41.68840027,-69.98950195
KCR,63.56769943,-155.9889984
KCRE,33.81169891,-78.72389984
KCRG,30.3362999,-81.51439667
KCRO,36.102502,-119.595001
KCRP,27.77039909,-97.50119781
